customer_id,total_transactions,total_transaction_value,average_transaction_value,maximum_transaction_value,total_red_flags,maximum_rule_score,alert_count,customer_risk_level
CUST000061,42,173763.22,4137.219523809524,11302.64,172,100,42,CRITICAL
CUST000083,47,158016.3,3362.0489361702125,11709.98,172,100,47,CRITICAL
CUST000075,44,167677.31,3810.8479545454543,11648.76,171,100,44,CRITICAL
CUST000065,47,177763.39,3782.199787234043,11855.44,170,100,47,CRITICAL
CUST000080,42,189661.54,4515.750952380952,11339.59,169,100,42,CRITICAL
CUST000099,39,420325.44,10777.575384615384,29728.94,168,100,20,CRITICAL
CUST000128,46,152620.47,3317.836304347826,9994.52,168,100,46,CRITICAL
CUST000069,44,168472.65,3828.9238636363634,11630.19,165,100,44,CRITICAL
CUST000073,41,188188.55,4589.964634146341,11807.3,165,100,41,CRITICAL
CUST000137,44,213219.92,4845.907272727273,14229.48,165,100,44,CRITICAL
CUST000130,51,149564.96,2932.646274509804,9526.45,162,100,51,CRITICAL
