case_id,customer_id,case_priority,case_risk_level,highest_risk_score,alert_count,total_transaction_volume_usd,alert_transaction_volume_usd,customer_risk_rating,customer_type,occupation,annual_income_usd,expected_monthly_volume_usd,pep_flag,sanctions_flag,adverse_media_flag,red_flag_count,red_flag_codes,red_flag_descriptions,top_shap_drivers,primary_alert_type,primary_alert_reason,model_rule_agreement,preliminary_disposition,analyst_disposition,investigation_status,analyst_notes,escalation_required,sar_consideration
AML-CUST001003,CUST001003,P1,MEDIUM,47.5,21,11314.3,11314.3,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST001495,CUST001495,P1,MEDIUM,47.5,17,14015.18,14015.18,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,transaction_hour | channel_transaction_ratio | log_amount | transaction_month,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST002056,CUST002056,P1,MEDIUM,47.5,18,9250.77,9250.77,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,is_night_transaction | channel_transaction_ratio | transaction_month,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST002140,CUST002140,P1,MEDIUM,47.5,22,22688.94,22688.94,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,transaction_hour | international_ratio_24h | log_amount | channel_transaction_ratio,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST002208,CUST002208,P1,MEDIUM,47.5,17,6224.3,6224.3,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST003058,CUST003058,P1,MEDIUM,47.5,16,15601.98,15601.98,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST003161,CUST003161,P1,MEDIUM,47.5,22,15089.73,15089.73,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST004014,CUST004014,P1,MEDIUM,47.5,17,10934.38,10934.38,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST004736,CUST004736,P1,MEDIUM,47.5,22,10548.03,10548.03,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,log_amount | channel_transaction_ratio | channel_transaction_count,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000607,CUST000607,P1,MEDIUM,45.75,20,12110.31,12110.31,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,is_night_transaction | channel_transaction_ratio | cash_ratio_24h,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST001440,CUST001440,P1,MEDIUM,45.75,20,10752.47,10752.47,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,log_amount | transaction_hour | international_ratio_24h | transaction_month,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST003780,CUST003780,P1,MEDIUM,45.75,19,13817.28,13817.28,,,,,,0,1,0,3,RF_FUNNEL_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_SANCTIONS,Activity involves multiple origin countries and elevated transaction frequency. | Customer interacted with multiple counterparties. | Customer has a sanctions indicator in the synthetic dataset.,is_night_transaction | channel_transaction_ratio | log_amount,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; Sanctions indicator,RULE_HIGH_ML_LOW,ESCALATE_FOR_DETAILED_REVIEW,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000010,CUST000010,P2,HIGH,75.0,20,204756.32,186679.55,,,,,,0,0,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_STRUCTURING,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Multiple transactions observed in the synthetic structuring threshold range.,,STRUCTURING,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000041,CUST000041,P2,HIGH,75.0,20,640133.09,613932.42,,,,,,0,0,0,3,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties.,log_amount | amount_usd | amount_deviation_from_average,RAPID_MOVEMENT,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000042,CUST000042,P2,HIGH,75.0,20,634128.98,611494.97,,,,,,0,0,0,3,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties.,,RAPID_MOVEMENT,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000048,CUST000048,P2,HIGH,75.0,20,643450.52,617796.55,,,,,,0,0,0,3,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties.,,RAPID_MOVEMENT,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000080,CUST000080,P2,HIGH,75.0,20,189661.54,174432.2,,,,,,0,0,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_STRUCTURING,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Multiple transactions observed in the synthetic structuring threshold range.,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,FUNNEL_ACCOUNT,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000082,CUST000082,P2,HIGH,75.0,20,145452.06,136876.34,,,,,,0,0,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_STRUCTURING,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Multiple transactions observed in the synthetic structuring threshold range.,,FUNNEL_ACCOUNT,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000126,CUST000126,P2,HIGH,75.0,20,142409.88,120790.29,,,,,,0,0,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_STRUCTURING,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Multiple transactions observed in the synthetic structuring threshold range.,transactions_24h | log_amount | rapid_transaction_indicator,MULE_BEHAVIOR,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000128,CUST000128,P2,HIGH,75.0,20,152620.47,133366.04,,,,,,0,0,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_STRUCTURING,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Multiple transactions observed in the synthetic structuring threshold range.,log_amount | transactions_24h | rapid_transaction_indicator,MULE_BEHAVIOR,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000135,CUST000135,P2,HIGH,75.0,21,210221.81,192145.82,,,,,,0,0,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_STRUCTURING,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Multiple transactions observed in the synthetic structuring threshold range.,,FRAUD_LINKED,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000152,CUST000152,P2,HIGH,75.0,20,185319.85,173541.72,,,,,,0,0,0,3,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties.,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,FRAUD_LINKED,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000157,CUST000157,P2,HIGH,75.0,21,171683.94,155529.48,,,,,,0,0,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_STRUCTURING,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Multiple transactions observed in the synthetic structuring threshold range.,transaction_hour | suspicious_transaction_ratio | log_amount,FRAUD_LINKED,High rule-engine risk; High ML suspiciousness score,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000029,CUST000029,P2,HIGH,60.18,21,217526.33,194505.26,,,,,,0,0,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_STRUCTURING,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Multiple transactions observed in the synthetic structuring threshold range.,log_amount | suspicious_transaction_ratio | structuring_ratio,STRUCTURING_RELATED,High rule-engine risk; High ML suspiciousness score; Behavioral model drivers: log_amount | suspicious_transaction_ratio | structuring_ratio,STRONG_AGREEMENT,INVESTIGATE,PENDING_REVIEW,OPEN,,YES,PENDING_HUMAN_REVIEW
AML-CUST000159,CUST000159,P3,MEDIUM,49.5,13,179819.68,121346.64,,,,,,0,0,0,3,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties.,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,GENERAL_TRANSACTION_MONITORING,High ML suspiciousness score,ML_HIGH_RULE_LOW,STANDARD_REVIEW,PENDING_REVIEW,OPEN,,NO,PENDING_HUMAN_REVIEW
AML-CUST000139,CUST000139,P3,MEDIUM,49.01,15,204690.34,164864.51,,,,,,0,0,0,3,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties.,,GENERAL_TRANSACTION_MONITORING,High ML suspiciousness score,ML_HIGH_RULE_LOW,STANDARD_REVIEW,PENDING_REVIEW,OPEN,,NO,PENDING_HUMAN_REVIEW
AML-CUST001070,CUST001070,P3,MEDIUM,48.25,15,14943.25,14943.25,,,,,,1,0,1,5,RF_ADVERSE_MEDIA | RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_PEP,Customer has an adverse-media indicator in the synthetic dataset. | Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Customer is marked with a PEP indicator in the synthetic dataset.,,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; PEP indicator; Adverse media indicator,RULE_HIGH_ML_LOW,STANDARD_REVIEW,PENDING_REVIEW,OPEN,,NO,PENDING_HUMAN_REVIEW
AML-CUST001602,CUST001602,P3,MEDIUM,48.25,19,17462.25,17462.25,,,,,,1,0,1,5,RF_ADVERSE_MEDIA | RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_PEP,Customer has an adverse-media indicator in the synthetic dataset. | Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Customer is marked with a PEP indicator in the synthetic dataset.,is_night_transaction | international_ratio_24h | adverse_media_flag,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; PEP indicator; Adverse media indicator,RULE_HIGH_ML_LOW,STANDARD_REVIEW,PENDING_REVIEW,OPEN,,NO,PENDING_HUMAN_REVIEW
AML-CUST002465,CUST002465,P3,MEDIUM,48.25,22,31079.06,31079.06,,,,,,1,0,1,5,RF_ADVERSE_MEDIA | RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_PEP,Customer has an adverse-media indicator in the synthetic dataset. | Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Customer is marked with a PEP indicator in the synthetic dataset.,transaction_hour | is_night_transaction | channel_transaction_ratio,GENERAL_TRANSACTION_MONITORING,High rule-engine risk; PEP indicator; Adverse media indicator,RULE_HIGH_ML_LOW,STANDARD_REVIEW,PENDING_REVIEW,OPEN,,NO,PENDING_HUMAN_REVIEW
AML-CUST000144,CUST000144,P3,MEDIUM,47.77,6,151660.09,41487.11,,,,,,0,0,0,3,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties.,suspicious_transaction_ratio | transaction_hour | channel_transaction_count,GENERAL_TRANSACTION_MONITORING,High ML suspiciousness score; Behavioral model drivers: suspicious_transaction_ratio | transaction_hour | channel_transaction_count,ML_HIGH_RULE_LOW,STANDARD_REVIEW,PENDING_REVIEW,OPEN,,NO,PENDING_HUMAN_REVIEW
AML-CUST000045,CUST000045,P3,MEDIUM,47.5,51,608817.96,608817.96,,,,,,1,0,0,4,RF_FUNNEL_BEHAVIOR | RF_MULE_BEHAVIOR | RF_MULTIPLE_COUNTERPARTIES | RF_PEP,Activity involves multiple origin countries and elevated transaction frequency. | Transaction activity is consistent with the synthetic mule-behavior scenario. | Customer interacted with multiple counterparties. | Customer is marked with a PEP indicator in the synthetic dataset.,amount_deviation_from_average | log_amount | amount_usd,RAPID_MOVEMENT,High rule-engine risk; PEP indicator,RULE_HIGH_ML_LOW,STANDARD_REVIEW,PENDING_REVIEW,OPEN,,NO,PENDING_HUMAN_REVIEW
