customer_id,red_flag_code,red_flag_description
CUST000010,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000010,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000011,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000011,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000011,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000011,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000012,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000012,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000012,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000012,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000013,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000013,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000013,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000013,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000014,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000014,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000014,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000014,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000015,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000015,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000015,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000015,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000016,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000016,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000016,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000016,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000017,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000017,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000017,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000017,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000018,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000018,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000018,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000018,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000019,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000019,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000019,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000019,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000020,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000020,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000020,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000020,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000021,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000021,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000021,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000021,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000022,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000022,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000022,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000022,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000023,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000023,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000023,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000023,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000024,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000024,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000024,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000024,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000025,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000025,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000025,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000025,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000026,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000026,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000026,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000026,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000027,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000027,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000027,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000027,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000028,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000028,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000028,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000028,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000029,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000029,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000029,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000029,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000030,RF_ADVERSE_MEDIA,Customer has an adverse-media indicator in the synthetic dataset.
CUST000030,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000030,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000030,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000030,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000031,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000031,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000031,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000031,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000032,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000032,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000032,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000032,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000033,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000033,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000033,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000033,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000034,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000034,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000034,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000034,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000035,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000035,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000035,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000036,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000036,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000036,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000037,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000037,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000037,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000038,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000038,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000038,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000039,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000039,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000039,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000040,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000040,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000040,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000041,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000041,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000041,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000042,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000042,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000042,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000043,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000043,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000043,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000044,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000044,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000044,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000045,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000045,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000045,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000045,RF_PEP,Customer is marked with a PEP indicator in the synthetic dataset.
CUST000046,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000046,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000046,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000047,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000047,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000047,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000048,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000048,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000048,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000049,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000049,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000049,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000050,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000050,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000050,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000051,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000051,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000051,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000052,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000052,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000052,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000053,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000053,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000053,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000054,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000054,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000054,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000055,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000055,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000055,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000056,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000056,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000056,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000057,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000057,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000057,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000058,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000058,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000058,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000059,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000059,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000059,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000060,RF_ADVERSE_MEDIA,Customer has an adverse-media indicator in the synthetic dataset.
CUST000060,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000060,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000060,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000060,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000061,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000061,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000061,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000061,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000062,RF_ADVERSE_MEDIA,Customer has an adverse-media indicator in the synthetic dataset.
CUST000062,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000062,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000062,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000062,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000063,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000063,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000063,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000064,RF_ADVERSE_MEDIA,Customer has an adverse-media indicator in the synthetic dataset.
CUST000064,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000064,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000064,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000064,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000065,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000065,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000065,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000065,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000066,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000066,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000066,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000066,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000067,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000067,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000067,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000067,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000068,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000068,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000068,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000068,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000069,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000069,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000069,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000069,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000070,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000070,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000070,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000070,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000071,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000071,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000071,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000071,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000072,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000072,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000072,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000073,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000073,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000073,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000073,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000074,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000074,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000074,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000074,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000075,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000075,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000075,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000075,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000076,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000076,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000076,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000076,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000077,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000077,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000077,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000077,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000078,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000078,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000078,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000078,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000079,RF_ADVERSE_MEDIA,Customer has an adverse-media indicator in the synthetic dataset.
CUST000079,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000079,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000079,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000079,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000080,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000080,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000080,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000080,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000081,RF_ADVERSE_MEDIA,Customer has an adverse-media indicator in the synthetic dataset.
CUST000081,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000081,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000081,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000081,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000082,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000082,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000082,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000082,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000083,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000083,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000083,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000084,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
CUST000084,RF_MULE_BEHAVIOR,Transaction activity is consistent with the synthetic mule-behavior scenario.
CUST000084,RF_MULTIPLE_COUNTERPARTIES,Customer interacted with multiple counterparties.
CUST000084,RF_STRUCTURING,Multiple transactions observed in the synthetic structuring threshold range.
CUST000085,RF_FUNNEL_BEHAVIOR,Activity involves multiple origin countries and elevated transaction frequency.
