case_id,customer_id,quality_score,has_who,has_what,has_when,has_where,has_why,has_amount,chronological_language,human_review_statement
AML-CUST000060,CUST000060,100.0,True,True,True,True,True,True,True,True
AML-CUST000062,CUST000062,100.0,True,True,True,True,True,True,True,True
AML-CUST000081,CUST000081,100.0,True,True,True,True,True,True,True,True
AML-CUST000097,CUST000097,100.0,True,True,True,True,True,True,True,True
AML-CUST002926,CUST002926,100.0,True,True,True,True,True,True,True,True
AML-CUST000046,CUST000046,100.0,True,True,True,True,True,True,True,True
AML-CUST003118,CUST003118,100.0,True,True,True,True,True,True,True,True
AML-CUST004424,CUST004424,100.0,True,True,True,True,True,True,True,True
AML-CUST000257,CUST000257,100.0,True,True,True,True,True,True,True,True
AML-CUST002349,CUST002349,100.0,True,True,True,True,True,True,True,True
AML-CUST002635,CUST002635,100.0,True,True,True,True,True,True,True,True
AML-CUST002674,CUST002674,100.0,True,True,True,True,True,True,True,True
AML-CUST003176,CUST003176,100.0,True,True,True,True,True,True,True,True
AML-CUST003600,CUST003600,100.0,True,True,True,True,True,True,True,True
AML-CUST004434,CUST004434,100.0,True,True,True,True,True,True,True,True
AML-CUST004803,CUST004803,100.0,True,True,True,True,True,True,True,True
AML-CUST001549,CUST001549,100.0,True,True,True,True,True,True,True,True
AML-CUST003387,CUST003387,100.0,True,True,True,True,True,True,True,True
AML-CUST004188,CUST004188,100.0,True,True,True,True,True,True,True,True
AML-CUST001114,CUST001114,100.0,True,True,True,True,True,True,True,True
AML-CUST002014,CUST002014,100.0,True,True,True,True,True,True,True,True
AML-CUST002166,CUST002166,100.0,True,True,True,True,True,True,True,True
AML-CUST002846,CUST002846,100.0,True,True,True,True,True,True,True,True
AML-CUST003213,CUST003213,100.0,True,True,True,True,True,True,True,True
AML-CUST003347,CUST003347,100.0,True,True,True,True,True,True,True,True
AML-CUST003500,CUST003500,100.0,True,True,True,True,True,True,True,True
AML-CUST003628,CUST003628,100.0,True,True,True,True,True,True,True,True
AML-CUST003781,CUST003781,100.0,True,True,True,True,True,True,True,True
AML-CUST000721,CUST000721,100.0,True,True,True,True,True,True,True,True
AML-CUST001668,CUST001668,100.0,True,True,True,True,True,True,True,True
AML-CUST002698,CUST002698,100.0,True,True,True,True,True,True,True,True
AML-CUST002868,CUST002868,100.0,True,True,True,True,True,True,True,True
AML-CUST003739,CUST003739,100.0,True,True,True,True,True,True,True,True
AML-CUST004689,CUST004689,100.0,True,True,True,True,True,True,True,True
AML-CUST000732,CUST000732,100.0,True,True,True,True,True,True,True,True
AML-CUST001019,CUST001019,100.0,True,True,True,True,True,True,True,True
AML-CUST001697,CUST001697,100.0,True,True,True,True,True,True,True,True
AML-CUST001911,CUST001911,100.0,True,True,True,True,True,True,True,True
AML-CUST002174,CUST002174,100.0,True,True,True,True,True,True,True,True
AML-CUST000198,CUST000198,100.0,True,True,True,True,True,True,True,True
AML-CUST000211,CUST000211,100.0,True,True,True,True,True,True,True,True
AML-CUST000388,CUST000388,100.0,True,True,True,True,True,True,True,True
AML-CUST000540,CUST000540,100.0,True,True,True,True,True,True,True,True
AML-CUST000974,CUST000974,100.0,True,True,True,True,True,True,True,True
AML-CUST001296,CUST001296,100.0,True,True,True,True,True,True,True,True
AML-CUST001340,CUST001340,100.0,True,True,True,True,True,True,True,True
AML-CUST001773,CUST001773,100.0,True,True,True,True,True,True,True,True
AML-CUST001804,CUST001804,100.0,True,True,True,True,True,True,True,True
AML-CUST002038,CUST002038,100.0,True,True,True,True,True,True,True,True
AML-CUST002336,CUST002336,100.0,True,True,True,True,True,True,True,True
AML-CUST002619,CUST002619,100.0,True,True,True,True,True,True,True,True
AML-CUST002629,CUST002629,100.0,True,True,True,True,True,True,True,True
AML-CUST002660,CUST002660,100.0,True,True,True,True,True,True,True,True
AML-CUST002719,CUST002719,100.0,True,True,True,True,True,True,True,True
AML-CUST002731,CUST002731,100.0,True,True,True,True,True,True,True,True
AML-CUST003969,CUST003969,100.0,True,True,True,True,True,True,True,True
AML-CUST000011,CUST000011,100.0,True,True,True,True,True,True,True,True
AML-CUST000012,CUST000012,100.0,True,True,True,True,True,True,True,True
AML-CUST000013,CUST000013,100.0,True,True,True,True,True,True,True,True
AML-CUST000014,CUST000014,100.0,True,True,True,True,True,True,True,True
AML-CUST000015,CUST000015,100.0,True,True,True,True,True,True,True,True
AML-CUST000016,CUST000016,100.0,True,True,True,True,True,True,True,True
AML-CUST000017,CUST000017,100.0,True,True,True,True,True,True,True,True
AML-CUST000018,CUST000018,100.0,True,True,True,True,True,True,True,True
AML-CUST000019,CUST000019,100.0,True,True,True,True,True,True,True,True
AML-CUST000020,CUST000020,100.0,True,True,True,True,True,True,True,True
AML-CUST000021,CUST000021,100.0,True,True,True,True,True,True,True,True
AML-CUST000022,CUST000022,100.0,True,True,True,True,True,True,True,True
AML-CUST000023,CUST000023,100.0,True,True,True,True,True,True,True,True
AML-CUST000024,CUST000024,100.0,True,True,True,True,True,True,True,True
AML-CUST000025,CUST000025,100.0,True,True,True,True,True,True,True,True
AML-CUST000026,CUST000026,100.0,True,True,True,True,True,True,True,True
AML-CUST000027,CUST000027,100.0,True,True,True,True,True,True,True,True
AML-CUST000028,CUST000028,100.0,True,True,True,True,True,True,True,True
AML-CUST000031,CUST000031,100.0,True,True,True,True,True,True,True,True
AML-CUST000032,CUST000032,100.0,True,True,True,True,True,True,True,True
AML-CUST000033,CUST000033,100.0,True,True,True,True,True,True,True,True
AML-CUST000034,CUST000034,100.0,True,True,True,True,True,True,True,True
AML-CUST000035,CUST000035,100.0,True,True,True,True,True,True,True,True
AML-CUST000036,CUST000036,100.0,True,True,True,True,True,True,True,True
AML-CUST000037,CUST000037,100.0,True,True,True,True,True,True,True,True
AML-CUST000038,CUST000038,100.0,True,True,True,True,True,True,True,True
AML-CUST000039,CUST000039,100.0,True,True,True,True,True,True,True,True
AML-CUST000040,CUST000040,100.0,True,True,True,True,True,True,True,True
AML-CUST000043,CUST000043,100.0,True,True,True,True,True,True,True,True
AML-CUST000044,CUST000044,100.0,True,True,True,True,True,True,True,True
AML-CUST000047,CUST000047,100.0,True,True,True,True,True,True,True,True
AML-CUST000049,CUST000049,100.0,True,True,True,True,True,True,True,True
AML-CUST000050,CUST000050,100.0,True,True,True,True,True,True,True,True
AML-CUST000051,CUST000051,100.0,True,True,True,True,True,True,True,True
AML-CUST000052,CUST000052,100.0,True,True,True,True,True,True,True,True
AML-CUST000053,CUST000053,100.0,True,True,True,True,True,True,True,True
AML-CUST000054,CUST000054,100.0,True,True,True,True,True,True,True,True
AML-CUST000055,CUST000055,100.0,True,True,True,True,True,True,True,True
AML-CUST000056,CUST000056,100.0,True,True,True,True,True,True,True,True
AML-CUST000057,CUST000057,100.0,True,True,True,True,True,True,True,True
AML-CUST000058,CUST000058,100.0,True,True,True,True,True,True,True,True
AML-CUST000059,CUST000059,100.0,True,True,True,True,True,True,True,True
AML-CUST000061,CUST000061,100.0,True,True,True,True,True,True,True,True
AML-CUST000063,CUST000063,100.0,True,True,True,True,True,True,True,True
AML-CUST000065,CUST000065,100.0,True,True,True,True,True,True,True,True
AML-CUST000066,CUST000066,100.0,True,True,True,True,True,True,True,True
AML-CUST000067,CUST000067,100.0,True,True,True,True,True,True,True,True
AML-CUST000068,CUST000068,100.0,True,True,True,True,True,True,True,True
AML-CUST000069,CUST000069,100.0,True,True,True,True,True,True,True,True
AML-CUST000070,CUST000070,100.0,True,True,True,True,True,True,True,True
AML-CUST000071,CUST000071,100.0,True,True,True,True,True,True,True,True
AML-CUST000072,CUST000072,100.0,True,True,True,True,True,True,True,True
AML-CUST000073,CUST000073,100.0,True,True,True,True,True,True,True,True
AML-CUST000074,CUST000074,100.0,True,True,True,True,True,True,True,True
AML-CUST000075,CUST000075,100.0,True,True,True,True,True,True,True,True
AML-CUST000076,CUST000076,100.0,True,True,True,True,True,True,True,True
AML-CUST000077,CUST000077,100.0,True,True,True,True,True,True,True,True
AML-CUST000078,CUST000078,100.0,True,True,True,True,True,True,True,True
AML-CUST000083,CUST000083,100.0,True,True,True,True,True,True,True,True
AML-CUST000084,CUST000084,100.0,True,True,True,True,True,True,True,True
AML-CUST000085,CUST000085,100.0,True,True,True,True,True,True,True,True
AML-CUST000086,CUST000086,100.0,True,True,True,True,True,True,True,True
AML-CUST000087,CUST000087,100.0,True,True,True,True,True,True,True,True
AML-CUST000088,CUST000088,100.0,True,True,True,True,True,True,True,True
AML-CUST000089,CUST000089,100.0,True,True,True,True,True,True,True,True
AML-CUST000090,CUST000090,100.0,True,True,True,True,True,True,True,True
AML-CUST000091,CUST000091,100.0,True,True,True,True,True,True,True,True
AML-CUST000092,CUST000092,100.0,True,True,True,True,True,True,True,True
AML-CUST000093,CUST000093,100.0,True,True,True,True,True,True,True,True
AML-CUST000094,CUST000094,100.0,True,True,True,True,True,True,True,True
AML-CUST000095,CUST000095,100.0,True,True,True,True,True,True,True,True
AML-CUST000096,CUST000096,100.0,True,True,True,True,True,True,True,True
AML-CUST000098,CUST000098,100.0,True,True,True,True,True,True,True,True
AML-CUST000099,CUST000099,100.0,True,True,True,True,True,True,True,True
AML-CUST000100,CUST000100,100.0,True,True,True,True,True,True,True,True
AML-CUST000101,CUST000101,100.0,True,True,True,True,True,True,True,True
AML-CUST000102,CUST000102,100.0,True,True,True,True,True,True,True,True
AML-CUST000103,CUST000103,100.0,True,True,True,True,True,True,True,True
AML-CUST000104,CUST000104,100.0,True,True,True,True,True,True,True,True
AML-CUST000105,CUST000105,100.0,True,True,True,True,True,True,True,True
AML-CUST000106,CUST000106,100.0,True,True,True,True,True,True,True,True
AML-CUST000107,CUST000107,100.0,True,True,True,True,True,True,True,True
AML-CUST000108,CUST000108,100.0,True,True,True,True,True,True,True,True
AML-CUST000109,CUST000109,100.0,True,True,True,True,True,True,True,True
AML-CUST000110,CUST000110,100.0,True,True,True,True,True,True,True,True
AML-CUST000111,CUST000111,100.0,True,True,True,True,True,True,True,True
AML-CUST000112,CUST000112,100.0,True,True,True,True,True,True,True,True
AML-CUST000113,CUST000113,100.0,True,True,True,True,True,True,True,True
AML-CUST000114,CUST000114,100.0,True,True,True,True,True,True,True,True
AML-CUST000115,CUST000115,100.0,True,True,True,True,True,True,True,True
AML-CUST000116,CUST000116,100.0,True,True,True,True,True,True,True,True
AML-CUST000117,CUST000117,100.0,True,True,True,True,True,True,True,True
AML-CUST000118,CUST000118,100.0,True,True,True,True,True,True,True,True
AML-CUST000119,CUST000119,100.0,True,True,True,True,True,True,True,True
AML-CUST000120,CUST000120,100.0,True,True,True,True,True,True,True,True
AML-CUST000122,CUST000122,100.0,True,True,True,True,True,True,True,True
AML-CUST000123,CUST000123,100.0,True,True,True,True,True,True,True,True
AML-CUST000124,CUST000124,100.0,True,True,True,True,True,True,True,True
AML-CUST000125,CUST000125,100.0,True,True,True,True,True,True,True,True
AML-CUST000127,CUST000127,100.0,True,True,True,True,True,True,True,True
AML-CUST000129,CUST000129,100.0,True,True,True,True,True,True,True,True
AML-CUST000130,CUST000130,100.0,True,True,True,True,True,True,True,True
AML-CUST000131,CUST000131,100.0,True,True,True,True,True,True,True,True
AML-CUST000132,CUST000132,100.0,True,True,True,True,True,True,True,True
AML-CUST000133,CUST000133,100.0,True,True,True,True,True,True,True,True
AML-CUST000134,CUST000134,100.0,True,True,True,True,True,True,True,True
AML-CUST000136,CUST000136,100.0,True,True,True,True,True,True,True,True
AML-CUST000137,CUST000137,100.0,True,True,True,True,True,True,True,True
AML-CUST000138,CUST000138,100.0,True,True,True,True,True,True,True,True
AML-CUST000140,CUST000140,100.0,True,True,True,True,True,True,True,True
AML-CUST000141,CUST000141,100.0,True,True,True,True,True,True,True,True
AML-CUST000142,CUST000142,100.0,True,True,True,True,True,True,True,True
AML-CUST000143,CUST000143,100.0,True,True,True,True,True,True,True,True
AML-CUST000145,CUST000145,100.0,True,True,True,True,True,True,True,True
AML-CUST000146,CUST000146,100.0,True,True,True,True,True,True,True,True
AML-CUST000147,CUST000147,100.0,True,True,True,True,True,True,True,True
AML-CUST000148,CUST000148,100.0,True,True,True,True,True,True,True,True
AML-CUST000149,CUST000149,100.0,True,True,True,True,True,True,True,True
AML-CUST000150,CUST000150,100.0,True,True,True,True,True,True,True,True
AML-CUST000155,CUST000155,100.0,True,True,True,True,True,True,True,True
AML-CUST000156,CUST000156,100.0,True,True,True,True,True,True,True,True
AML-CUST000158,CUST000158,100.0,True,True,True,True,True,True,True,True
AML-CUST003784,CUST003784,100.0,True,True,True,True,True,True,True,True
AML-CUST004727,CUST004727,100.0,True,True,True,True,True,True,True,True
AML-CUST000368,CUST000368,100.0,True,True,True,True,True,True,True,True
AML-CUST000391,CUST000391,100.0,True,True,True,True,True,True,True,True
AML-CUST000857,CUST000857,100.0,True,True,True,True,True,True,True,True
AML-CUST001375,CUST001375,100.0,True,True,True,True,True,True,True,True
AML-CUST001673,CUST001673,100.0,True,True,True,True,True,True,True,True
AML-CUST002386,CUST002386,100.0,True,True,True,True,True,True,True,True
AML-CUST002540,CUST002540,100.0,True,True,True,True,True,True,True,True
AML-CUST002599,CUST002599,100.0,True,True,True,True,True,True,True,True
AML-CUST003391,CUST003391,100.0,True,True,True,True,True,True,True,True
AML-CUST003664,CUST003664,100.0,True,True,True,True,True,True,True,True
AML-CUST003709,CUST003709,100.0,True,True,True,True,True,True,True,True
AML-CUST003721,CUST003721,100.0,True,True,True,True,True,True,True,True
AML-CUST003790,CUST003790,100.0,True,True,True,True,True,True,True,True
AML-CUST003938,CUST003938,100.0,True,True,True,True,True,True,True,True
AML-CUST004797,CUST004797,100.0,True,True,True,True,True,True,True,True
AML-CUST004895,CUST004895,100.0,True,True,True,True,True,True,True,True
AML-CUST004951,CUST004951,100.0,True,True,True,True,True,True,True,True
AML-CUST004971,CUST004971,100.0,True,True,True,True,True,True,True,True
AML-CUST000121,CUST000121,100.0,True,True,True,True,True,True,True,True
AML-CUST000151,CUST000151,100.0,True,True,True,True,True,True,True,True
AML-CUST000153,CUST000153,100.0,True,True,True,True,True,True,True,True
AML-CUST000154,CUST000154,100.0,True,True,True,True,True,True,True,True
AML-CUST000001,CUST000001,100.0,True,True,True,True,True,True,True,True
AML-CUST000579,CUST000579,100.0,True,True,True,True,True,True,True,True
AML-CUST001093,CUST001093,100.0,True,True,True,True,True,True,True,True
AML-CUST001134,CUST001134,100.0,True,True,True,True,True,True,True,True
AML-CUST001393,CUST001393,100.0,True,True,True,True,True,True,True,True
AML-CUST001764,CUST001764,100.0,True,True,True,True,True,True,True,True
AML-CUST002442,CUST002442,100.0,True,True,True,True,True,True,True,True
AML-CUST002561,CUST002561,100.0,True,True,True,True,True,True,True,True
AML-CUST003284,CUST003284,100.0,True,True,True,True,True,True,True,True
AML-CUST003389,CUST003389,100.0,True,True,True,True,True,True,True,True
AML-CUST003435,CUST003435,100.0,True,True,True,True,True,True,True,True
AML-CUST003960,CUST003960,100.0,True,True,True,True,True,True,True,True
AML-CUST004081,CUST004081,100.0,True,True,True,True,True,True,True,True
AML-CUST004522,CUST004522,100.0,True,True,True,True,True,True,True,True
AML-CUST004580,CUST004580,100.0,True,True,True,True,True,True,True,True
AML-CUST004841,CUST004841,100.0,True,True,True,True,True,True,True,True
AML-CUST004932,CUST004932,100.0,True,True,True,True,True,True,True,True
AML-CUST004992,CUST004992,100.0,True,True,True,True,True,True,True,True
AML-CUST000822,CUST000822,100.0,True,True,True,True,True,True,True,True
AML-CUST001110,CUST001110,100.0,True,True,True,True,True,True,True,True
AML-CUST001305,CUST001305,100.0,True,True,True,True,True,True,True,True
AML-CUST001878,CUST001878,100.0,True,True,True,True,True,True,True,True
AML-CUST004768,CUST004768,100.0,True,True,True,True,True,True,True,True
AML-CUST000481,CUST000481,100.0,True,True,True,True,True,True,True,True
AML-CUST000785,CUST000785,100.0,True,True,True,True,True,True,True,True
AML-CUST000842,CUST000842,100.0,True,True,True,True,True,True,True,True
AML-CUST001413,CUST001413,100.0,True,True,True,True,True,True,True,True
AML-CUST001777,CUST001777,100.0,True,True,True,True,True,True,True,True
AML-CUST001879,CUST001879,100.0,True,True,True,True,True,True,True,True
AML-CUST002438,CUST002438,100.0,True,True,True,True,True,True,True,True
AML-CUST002957,CUST002957,100.0,True,True,True,True,True,True,True,True
AML-CUST003353,CUST003353,100.0,True,True,True,True,True,True,True,True
AML-CUST003956,CUST003956,100.0,True,True,True,True,True,True,True,True
AML-CUST004072,CUST004072,100.0,True,True,True,True,True,True,True,True
AML-CUST004300,CUST004300,100.0,True,True,True,True,True,True,True,True
AML-CUST004573,CUST004573,100.0,True,True,True,True,True,True,True,True
AML-CUST000247,CUST000247,100.0,True,True,True,True,True,True,True,True
AML-CUST000301,CUST000301,100.0,True,True,True,True,True,True,True,True
AML-CUST000347,CUST000347,100.0,True,True,True,True,True,True,True,True
AML-CUST000492,CUST000492,100.0,True,True,True,True,True,True,True,True
AML-CUST000518,CUST000518,100.0,True,True,True,True,True,True,True,True
AML-CUST000554,CUST000554,100.0,True,True,True,True,True,True,True,True
AML-CUST000555,CUST000555,100.0,True,True,True,True,True,True,True,True
AML-CUST000627,CUST000627,100.0,True,True,True,True,True,True,True,True
AML-CUST000645,CUST000645,100.0,True,True,True,True,True,True,True,True
AML-CUST000664,CUST000664,100.0,True,True,True,True,True,True,True,True
AML-CUST000726,CUST000726,100.0,True,True,True,True,True,True,True,True
AML-CUST000733,CUST000733,100.0,True,True,True,True,True,True,True,True
AML-CUST000773,CUST000773,100.0,True,True,True,True,True,True,True,True
AML-CUST000803,CUST000803,100.0,True,True,True,True,True,True,True,True
AML-CUST000871,CUST000871,100.0,True,True,True,True,True,True,True,True
AML-CUST000939,CUST000939,100.0,True,True,True,True,True,True,True,True
AML-CUST000978,CUST000978,100.0,True,True,True,True,True,True,True,True
AML-CUST000979,CUST000979,100.0,True,True,True,True,True,True,True,True
AML-CUST000983,CUST000983,100.0,True,True,True,True,True,True,True,True
AML-CUST001164,CUST001164,100.0,True,True,True,True,True,True,True,True
AML-CUST001176,CUST001176,100.0,True,True,True,True,True,True,True,True
AML-CUST001202,CUST001202,100.0,True,True,True,True,True,True,True,True
AML-CUST001245,CUST001245,100.0,True,True,True,True,True,True,True,True
AML-CUST001287,CUST001287,100.0,True,True,True,True,True,True,True,True
AML-CUST001433,CUST001433,100.0,True,True,True,True,True,True,True,True
AML-CUST001445,CUST001445,100.0,True,True,True,True,True,True,True,True
AML-CUST001626,CUST001626,100.0,True,True,True,True,True,True,True,True
AML-CUST001723,CUST001723,100.0,True,True,True,True,True,True,True,True
AML-CUST001729,CUST001729,100.0,True,True,True,True,True,True,True,True
AML-CUST001759,CUST001759,100.0,True,True,True,True,True,True,True,True
AML-CUST001793,CUST001793,100.0,True,True,True,True,True,True,True,True
AML-CUST001794,CUST001794,100.0,True,True,True,True,True,True,True,True
AML-CUST001799,CUST001799,100.0,True,True,True,True,True,True,True,True
AML-CUST001810,CUST001810,100.0,True,True,True,True,True,True,True,True
AML-CUST001846,CUST001846,100.0,True,True,True,True,True,True,True,True
AML-CUST001861,CUST001861,100.0,True,True,True,True,True,True,True,True
AML-CUST001863,CUST001863,100.0,True,True,True,True,True,True,True,True
AML-CUST001920,CUST001920,100.0,True,True,True,True,True,True,True,True
AML-CUST001987,CUST001987,100.0,True,True,True,True,True,True,True,True
AML-CUST002001,CUST002001,100.0,True,True,True,True,True,True,True,True
AML-CUST002061,CUST002061,100.0,True,True,True,True,True,True,True,True
AML-CUST002143,CUST002143,100.0,True,True,True,True,True,True,True,True
AML-CUST002172,CUST002172,100.0,True,True,True,True,True,True,True,True
AML-CUST002182,CUST002182,100.0,True,True,True,True,True,True,True,True
AML-CUST002305,CUST002305,100.0,True,True,True,True,True,True,True,True
AML-CUST002342,CUST002342,100.0,True,True,True,True,True,True,True,True
AML-CUST002362,CUST002362,100.0,True,True,True,True,True,True,True,True
AML-CUST002426,CUST002426,100.0,True,True,True,True,True,True,True,True
AML-CUST002444,CUST002444,100.0,True,True,True,True,True,True,True,True
AML-CUST002476,CUST002476,100.0,True,True,True,True,True,True,True,True
AML-CUST002487,CUST002487,100.0,True,True,True,True,True,True,True,True
AML-CUST002525,CUST002525,100.0,True,True,True,True,True,True,True,True
AML-CUST002617,CUST002617,100.0,True,True,True,True,True,True,True,True
AML-CUST002633,CUST002633,100.0,True,True,True,True,True,True,True,True
AML-CUST002688,CUST002688,100.0,True,True,True,True,True,True,True,True
AML-CUST002785,CUST002785,100.0,True,True,True,True,True,True,True,True
AML-CUST002907,CUST002907,100.0,True,True,True,True,True,True,True,True
AML-CUST002912,CUST002912,100.0,True,True,True,True,True,True,True,True
AML-CUST003003,CUST003003,100.0,True,True,True,True,True,True,True,True
AML-CUST003162,CUST003162,100.0,True,True,True,True,True,True,True,True
AML-CUST003288,CUST003288,100.0,True,True,True,True,True,True,True,True
AML-CUST003334,CUST003334,100.0,True,True,True,True,True,True,True,True
AML-CUST003399,CUST003399,100.0,True,True,True,True,True,True,True,True
AML-CUST003415,CUST003415,100.0,True,True,True,True,True,True,True,True
AML-CUST003468,CUST003468,100.0,True,True,True,True,True,True,True,True
AML-CUST003470,CUST003470,100.0,True,True,True,True,True,True,True,True
AML-CUST003481,CUST003481,100.0,True,True,True,True,True,True,True,True
AML-CUST003522,CUST003522,100.0,True,True,True,True,True,True,True,True
AML-CUST003534,CUST003534,100.0,True,True,True,True,True,True,True,True
AML-CUST003565,CUST003565,100.0,True,True,True,True,True,True,True,True
AML-CUST003576,CUST003576,100.0,True,True,True,True,True,True,True,True
AML-CUST003588,CUST003588,100.0,True,True,True,True,True,True,True,True
AML-CUST003609,CUST003609,100.0,True,True,True,True,True,True,True,True
AML-CUST003672,CUST003672,100.0,True,True,True,True,True,True,True,True
AML-CUST003691,CUST003691,100.0,True,True,True,True,True,True,True,True
AML-CUST003701,CUST003701,100.0,True,True,True,True,True,True,True,True
AML-CUST003708,CUST003708,100.0,True,True,True,True,True,True,True,True
AML-CUST003735,CUST003735,100.0,True,True,True,True,True,True,True,True
AML-CUST003813,CUST003813,100.0,True,True,True,True,True,True,True,True
AML-CUST003857,CUST003857,100.0,True,True,True,True,True,True,True,True
AML-CUST003881,CUST003881,100.0,True,True,True,True,True,True,True,True
AML-CUST003885,CUST003885,100.0,True,True,True,True,True,True,True,True
AML-CUST003998,CUST003998,100.0,True,True,True,True,True,True,True,True
AML-CUST004005,CUST004005,100.0,True,True,True,True,True,True,True,True
AML-CUST004032,CUST004032,100.0,True,True,True,True,True,True,True,True
AML-CUST004070,CUST004070,100.0,True,True,True,True,True,True,True,True
AML-CUST004112,CUST004112,100.0,True,True,True,True,True,True,True,True
AML-CUST004157,CUST004157,100.0,True,True,True,True,True,True,True,True
AML-CUST004189,CUST004189,100.0,True,True,True,True,True,True,True,True
AML-CUST004196,CUST004196,100.0,True,True,True,True,True,True,True,True
AML-CUST004213,CUST004213,100.0,True,True,True,True,True,True,True,True
AML-CUST004230,CUST004230,100.0,True,True,True,True,True,True,True,True
AML-CUST004294,CUST004294,100.0,True,True,True,True,True,True,True,True
AML-CUST004383,CUST004383,100.0,True,True,True,True,True,True,True,True
AML-CUST004416,CUST004416,100.0,True,True,True,True,True,True,True,True
AML-CUST004517,CUST004517,100.0,True,True,True,True,True,True,True,True
AML-CUST004595,CUST004595,100.0,True,True,True,True,True,True,True,True
AML-CUST004684,CUST004684,100.0,True,True,True,True,True,True,True,True
AML-CUST004709,CUST004709,100.0,True,True,True,True,True,True,True,True
AML-CUST004766,CUST004766,100.0,True,True,True,True,True,True,True,True
AML-CUST004831,CUST004831,100.0,True,True,True,True,True,True,True,True
AML-CUST004856,CUST004856,100.0,True,True,True,True,True,True,True,True
AML-CUST004934,CUST004934,100.0,True,True,True,True,True,True,True,True
AML-CUST004948,CUST004948,100.0,True,True,True,True,True,True,True,True
AML-CUST004985,CUST004985,100.0,True,True,True,True,True,True,True,True
AML-CUST004020,CUST004020,100.0,True,True,True,True,True,True,True,True
AML-CUST000251,CUST000251,100.0,True,True,True,True,True,True,True,True
AML-CUST000535,CUST000535,100.0,True,True,True,True,True,True,True,True
AML-CUST000622,CUST000622,100.0,True,True,True,True,True,True,True,True
AML-CUST000739,CUST000739,100.0,True,True,True,True,True,True,True,True
AML-CUST001107,CUST001107,100.0,True,True,True,True,True,True,True,True
AML-CUST001112,CUST001112,100.0,True,True,True,True,True,True,True,True
AML-CUST001129,CUST001129,100.0,True,True,True,True,True,True,True,True
