feature,dtype,missing_values,unique_values,mean,std,min,max
customer_volume_vs_expected,float64,0,5000,8.132596848300919,26.564345015703655,0.15783084707160844,539.487945732881
transaction_vs_monthly_income,float64,0,122987,0.2165701948424774,0.7399014410235704,0.00016475548695989224,26.58974635677653
annual_transaction_volume_vs_income,float64,0,5000,0.5723031563757403,1.6466888700856679,0.017117337154312635,29.997157016772857
transaction_hour,int32,0,24,11.46019512195122,6.903583831149856,0.0,23.0
transaction_day_of_week,int32,0,7,2.9952520325203253,1.9994333036986383,0.0,6.0
transaction_day,int32,0,31,15.732772357723578,8.814676966608525,1.0,31.0
transaction_month,int32,0,12,6.556634146341463,3.4200594101041437,1.0,12.0
is_weekend,int32,0,2,0.284780487804878,0.45131166340288814,0.0,1.0
is_night_transaction,int32,0,2,0.33227642276422764,0.47103142725862424,0.0,1.0
minutes_since_previous_transaction,float64,0,47704,60245.82818699187,194519.5299569047,0.0,999999.0
rapid_transaction_indicator,int32,0,2,0.028479674796747966,0.16633943570265267,0.0,1.0
transactions_24h,int64,0,22,1.2983821138211382,1.745710481648573,1.0,22.0
volume_24h,float64,0,82619,4296.531943902439,30268.548776270087,5.0,701064.9400000001
cash_transactions_24h,int64,0,22,0.23046341463414635,0.8525370096857332,0.0,21.0
international_transactions_24h,int64,0,21,0.5567154471544715,0.9054360349885594,0.0,20.0
cash_ratio_24h,float64,0,24,0.1801582813026774,0.3784746919856022,0.0,1.0
international_ratio_24h,float64,0,41,0.4858627192603529,0.4918545332526973,0.0,1.0
average_transaction_24h,float64,0,82946,1074.8845534224836,2828.091848309331,5.0,50000.0
transactions_7d,int64,0,23,1.6992682926829268,1.9124699725316638,1.0,23.0
volume_7d,float64,0,94206,4701.535922357726,30851.441699723655,5.0,701064.9400000001
average_transaction_7d,float64,0,95465,1062.2662464846105,2657.9660152926863,5.0,50000.0
transactions_30d,int64,0,26,3.162357723577236,2.411667999509752,1.0,26.0
volume_30d,float64,0,111793,6278.268774308943,33951.26179728723,5.0,705682.54
average_transaction_30d,float64,0,113843,1038.9741286303204,2280.1608391697987,5.0,49483.34
near_10000_threshold,int32,0,2,0.009089430894308944,0.09490461720614524,0.0,1.0
structuring_customer_count,int32,0,13,0.34968292682926827,2.02850600330718,0.0,22.0
structuring_ratio,float64,0,99,0.009089430894308944,0.047150756069422754,0.0,0.5263157894736842
multiple_near_threshold,int32,0,2,0.029422764227642277,0.168989045047293,0.0,1.0
rapid_movement_flag,int32,0,2,0.020186991869918697,0.14064010110643374,0.0,1.0
rapid_movement_customer_count,int32,0,14,0.8843252032520326,3.78068096475215,0.0,19.0
rapid_movement_ratio,float64,0,81,0.020186991869918694,0.08635412026042354,0.0,0.5277777777777778
red_flag_count,int64,0,10,2.847739837398374,0.9163701430632999,1.0,10.0
customer_average_red_flags,float64,0,591,2.847739837398374,0.4794983317806033,1.25,6.0
customer_max_red_flags,int64,0,9,4.301121951219512,0.9978515167186613,2.0,10.0
rule_risk_score,int64,0,19,36.00589430894309,10.754422945002256,10.0,100.0
customer_average_rule_score,float64,0,817,36.00589430894309,7.19138699514721,11.25,97.96296296296296
customer_max_rule_score,int64,0,18,50.06280487804878,16.5024664733795,15.0,100.0
high_risk_rule_indicator,int32,0,2,0.06608943089430894,0.24843936850714207,0.0,1.0
customer_risk_numeric,int64,0,3,0.11226829268292683,0.4179787003222197,0.0,2.0
high_customer_risk,int32,0,2,0.03752032520325203,0.19003379699477663,0.0,1.0
pep_flag,int32,0,2,0.03435772357723577,0.18214702891874124,0.0,1.0
sanctions_flag,int32,0,2,0.0034552845528455283,0.05868026547666054,0.0,1.0
adverse_media_flag,int32,0,2,0.038121951219512194,0.19149142585610865,0.0,1.0
high_risk_customer_profile,int32,0,2,0.0747479674796748,0.26298530590907426,0.0,1.0
customer_risk_indicator_count,int32,0,3,0.07593495934959349,0.26933884759140636,0.0,2.0
funnel_behavior_score,int32,0,2,0.018073170731707316,0.13321664878431907,0.0,1.0
layering_behavior_score,int32,0,2,0.020186991869918697,0.14064010110643374,0.0,1.0
mule_behavior_indicator,int32,0,2,0.02040650406504065,0.14138684938554266,0.0,1.0
customer_volume_share,float64,0,122987,0.040650406504065026,0.06005494744406161,1.2185155749293816e-05,0.8930819438748251
top_transaction_indicator,int32,0,2,0.04065040650406504,0.1974797914071434,0.0,1.0
channel_transaction_count,int64,0,36,9.074634146341463,5.711201001621506,1.0,39.0
channel_transaction_ratio,float64,0,464,0.34332931524976434,0.16272844322891386,0.018518518518518517,0.8421052631578947
