transaction_id,customer_id,amount_usd,ml_risk_probability,ml_risk_score,ml_risk_level,top_positive_shap_features,top_positive_shap_values,top_negative_shap_features,top_negative_shap_values
TXN00115219,CUST002838,158.74,3.2836130751908237e-09,3.2836130751908237e-07,LOW,transaction_hour | is_night_transaction | channel_transaction_ratio,5.019582 | 1.509443 | 1.502106,cash_ratio_24h | log_amount | transaction_month,-1.796937 | -1.460175 | -1.396581
TXN00025652,CUST003057,3517.66,5.722955873466084e-09,5.722955873466084e-07,LOW,log_amount | transaction_month | amount_deviation_from_average,5.543292 | 0.978557 | 0.910397,international_ratio_24h | average_transaction_30d | customer_volume_share,-1.361817 | -0.657461 | -0.567001
TXN00034348,CUST003651,1153.47,2.512224518261396e-12,2.512224518261396e-10,LOW,log_amount | amount_vs_customer_max | transaction_month,3.019292 | 1.587389 | 1.453584,transaction_hour | cash_ratio_24h | international_ratio_24h,-3.244894 | -1.796937 | -1.361817
TXN00009188,CUST000170,154.44,3.6003969005503874e-11,3.6003969005503873e-09,LOW,international_ratio_24h | transaction_hour | channel_transaction_ratio,1.248694 | 0.669858 | 0.668347,log_amount | is_night_transaction | transaction_month,-1.521977 | -0.530345 | -0.446526
TXN00078557,CUST003145,431.8,1.6913985828129115e-10,1.6913985828129114e-08,LOW,transaction_month | channel_transaction_ratio | channel_transaction_count,1.928612 | 0.913570 | 0.845961,international_ratio_24h | transaction_hour | is_night_transaction,-1.361817 | -1.070032 | -0.530345
TXN00085199,CUST000660,746.55,1.4512418882797998e-06,0.00014512418882797997,LOW,transaction_hour | transaction_month | log_amount,5.454554 | 2.403639 | 2.035012,channel_transaction_ratio | channel_transaction_count | suspicious_transaction_ratio,-1.398537 | -1.018882 | -0.276996
TXN00052104,CUST003577,160.46,2.0102839251301608e-10,2.010283925130161e-08,LOW,transaction_hour | transaction_month | international_ratio_24h,2.409747 | 1.928612 | 1.248694,log_amount | is_night_transaction | is_weekend,-1.435919 | -0.530345 | -0.430003
TXN00054475,CUST002396,508.36,1.3156589414828161e-11,1.3156589414828162e-09,LOW,transaction_month | is_night_transaction | international_ratio_24h,2.403639 | 1.509443 | 1.248694,transaction_hour | channel_transaction_ratio | channel_transaction_count,-4.549811 | -1.350031 | -1.018882
TXN00026803,CUST000051,363.36,6.149639759666333e-09,6.149639759666333e-07,LOW,suspicious_transaction_ratio | channel_transaction_count | rapid_movement_ratio,5.958692 | 2.880335 | 2.739794,amount_deviation_from_average | customer_total_volume | transaction_month,-6.568194 | -2.310080 | -1.871608
TXN00061534,CUST001255,342.25,6.627354626820538e-13,6.627354626820538e-11,LOW,log_amount | cash_ratio_24h | is_weekend,0.272210 | 0.268508 | 0.202354,international_ratio_24h | transaction_hour | transaction_month,-1.361817 | -1.070032 | -0.921553
TXN00082195,CUST004783,144.72,1.2405755839033297e-14,1.2405755839033297e-12,LOW,is_night_transaction | cash_ratio_24h | transaction_day_of_week,1.509443 | 0.268508 | 0.267659,transaction_hour | log_amount | channel_transaction_ratio,-4.114839 | -1.668222 | -1.420281
TXN00063339,CUST004198,183.69,1.5182429076965788e-10,1.518242907696579e-08,LOW,transaction_hour | channel_transaction_ratio | international_ratio_24h,1.539802 | 1.404017 | 1.248694,transaction_month | log_amount | is_night_transaction,-1.871608 | -1.131479 | -0.530345
TXN00070665,CUST004044,115.17,1.6961142961237922e-14,1.6961142961237923e-12,LOW,transaction_hour | is_small_cash_transaction | customer_min_transaction,2.409747 | 0.776018 | 0.361018,transaction_month | log_amount | cash_ratio_24h,-2.821663 | -2.181503 | -1.796937
TXN00092252,CUST003385,127.81,4.275676020736519e-12,4.275676020736519e-10,LOW,transaction_month | transactions_24h | unique_counterparties,0.978557 | 0.964005 | 0.430588,log_amount | transaction_hour | is_night_transaction,-1.947584 | -1.939977 | -0.530345
TXN00036665,CUST001553,243.38,6.292761341532766e-13,6.292761341532766e-11,LOW,international_ratio_24h | transaction_month | unique_destination_countries,1.248694 | 0.503529 | 0.476960,transaction_hour | channel_transaction_count | channel_transaction_ratio,-2.374949 | -1.018882 | -0.852039
TXN00039320,CUST002294,686.91,7.553417760521501e-12,7.553417760521501e-10,LOW,log_amount | channel_transaction_ratio | customer_min_transaction,1.846708 | 0.493187 | 0.460074,international_ratio_24h | transaction_hour | transaction_month,-1.361817 | -1.070032 | -0.921553
TXN00092218,CUST002793,117.87,5.179156038573772e-11,5.179156038573772e-09,LOW,transaction_hour | is_night_transaction | international_ratio_24h,3.279692 | 1.509443 | 1.248694,log_amount | cash_ratio_24h | channel_transaction_count,-2.129467 | -1.796937 | -0.679820
TXN00014897,CUST004846,293.31,3.7524552250348966e-11,3.7524552250348965e-09,LOW,is_night_transaction | transaction_month | international_ratio_24h,1.509443 | 1.453584 | 1.248694,transaction_hour | is_weekend | suspicious_transaction_ratio,-4.114839 | -0.430003 | -0.276996
TXN00053281,CUST003361,106.71,1.5314465949455704e-13,1.5314465949455703e-11,LOW,international_ratio_24h | transaction_month | is_small_cash_transaction,1.248694 | 0.978557 | 0.776018,transaction_hour | log_amount | cash_ratio_24h,-2.809922 | -2.352751 | -1.796937
TXN00104225,CUST003297,732.88,1.9042967689698784e-08,1.9042967689698784e-06,LOW,transaction_hour | log_amount | transaction_month,2.844720 | 1.993214 | 1.453584,is_night_transaction | is_weekend | suspicious_transaction_ratio,-0.530345 | -0.430003 | -0.276996
TXN00064068,CUST003745,96.2,2.3781701710824216e-13,2.3781701710824215e-11,LOW,channel_transaction_ratio | channel_transaction_count | is_small_cash_transaction,1.553284 | 0.845961 | 0.776018,log_amount | cash_ratio_24h | transaction_month,-2.585284 | -1.796937 | -1.396581
TXN00112405,CUST004091,703.16,6.8780840099172875e-09,6.878084009917287e-07,LOW,transaction_month | log_amount | channel_transaction_ratio,2.403639 | 1.899586 | 0.703379,international_ratio_24h | is_night_transaction | suspicious_transaction_ratio,-1.361817 | -0.530345 | -0.276996
TXN00072428,CUST003404,89.74,3.903401668119766e-16,3.9034016681197656e-14,LOW,is_small_cash_transaction | amount_vs_customer_average | customer_volume_share,0.776018 | 0.281348 | 0.235707,log_amount | transaction_hour | cash_ratio_24h,-2.741041 | -2.374949 | -1.796937
TXN00002678,CUST001212,333.57,3.321820368848131e-13,3.321820368848131e-11,LOW,international_ratio_24h | transaction_month | is_small_cash_transaction,1.248694 | 0.978557 | 0.776018,transaction_hour | cash_ratio_24h | channel_transaction_ratio,-1.939977 | -1.796937 | -1.146307
TXN00118885,CUST003887,184.74,1.7656124519782986e-10,1.7656124519782985e-08,LOW,transaction_hour | is_night_transaction | unique_counterparties,4.149637 | 1.509443 | 0.550529,international_ratio_24h | channel_transaction_ratio | log_amount,-1.361817 | -1.188345 | -1.118640
TXN00009244,CUST000463,146.26,1.5462791950580638e-12,1.5462791950580637e-10,LOW,transaction_month | channel_transaction_ratio | channel_transaction_count,1.453584 | 1.031277 | 0.676429,transaction_hour | log_amount | international_ratio_24h,-3.244894 | -1.644413 | -1.361817
TXN00087759,CUST002357,138.71,1.4326243314650113e-12,1.4326243314650114e-10,LOW,transaction_hour | international_ratio_24h | unique_counterparties,2.409747 | 1.248694 | 0.310647,transaction_month | log_amount | channel_transaction_ratio,-2.346636 | -1.763612 | -1.269710
TXN00017986,CUST001586,472.46,2.7147835883830956e-13,2.7147835883830958e-11,LOW,international_ratio_24h | log_amount | is_small_cash_transaction,1.248694 | 1.000594 | 0.776018,transaction_hour | transaction_month | cash_ratio_24h,-3.679867 | -1.871608 | -1.796937
TXN00022289,CUST004550,1300.06,1.2741842615077525e-07,1.2741842615077525e-05,LOW,transaction_hour | log_amount | is_night_transaction,4.149637 | 3.290023 | 1.509443,channel_transaction_count | transaction_month | unique_counterparties,-0.510289 | -0.446526 | -0.349028
TXN00060360,CUST004578,170.1,2.0108735811434094e-11,2.0108735811434096e-09,LOW,transaction_month | transaction_hour | unique_destination_countries,2.403639 | 1.539802 | 0.335847,international_ratio_24h | log_amount | unique_counterparties,-1.361817 | -1.304581 | -0.588910
TXN00051004,CUST002234,92.25,1.912388517390748e-12,1.9123885173907478e-10,LOW,transaction_month | international_ratio_24h | cash_ratio_24h,2.403639 | 1.248694 | 0.268508,log_amount | channel_transaction_ratio | channel_transaction_count,-2.679243 | -1.188345 | -1.018882
TXN00093551,CUST002609,66.98,2.1678153011200745e-12,2.1678153011200746e-10,LOW,rule_alert_ratio | international_ratio_24h | channel_transaction_ratio,4.736594 | 1.248694 | 1.109749,log_amount | transaction_hour | transaction_month,-3.395085 | -2.374949 | -2.346636
TXN00055965,CUST002354,19.35,6.024756982038318e-14,6.024756982038318e-12,LOW,transaction_month | international_ratio_24h | unique_destination_countries,2.403639 | 1.248694 | 0.476960,log_amount | transaction_hour | channel_transaction_ratio,-6.126755 | -1.505005 | -0.802994
TXN00097698,CUST002577,801.97,6.783311894180428e-14,6.783311894180428e-12,LOW,log_amount | amount_vs_customer_max | amount_deviation_from_average,2.196983 | 0.512510 | 0.271810,transaction_hour | transaction_month | international_ratio_24h,-2.809922 | -1.871608 | -1.361817
TXN00082385,CUST001925,632.98,6.525780570940425e-10,6.525780570940425e-08,LOW,log_amount | transaction_month | international_ratio_24h,1.661807 | 1.453584 | 1.248694,is_night_transaction | channel_transaction_ratio | suspicious_transaction_ratio,-0.530345 | -0.285300 | -0.276996
TXN00102411,CUST003654,1273.28,6.31867373447521e-08,6.318673734475211e-06,LOW,log_amount | transaction_month | international_ratio_24h,3.242919 | 1.928612 | 1.248694,is_night_transaction | amount_vs_customer_average | customer_volume_share,-0.530345 | -0.524047 | -0.289219
TXN00013366,CUST001071,1061.61,4.699493819619453e-10,4.699493819619453e-08,LOW,log_amount | transaction_hour | international_ratio_24h,2.831508 | 1.974775 | 1.248694,pep_flag | high_customer_risk | customer_risk_numeric,-1.343559 | -1.231971 | -0.781476
TXN00041005,CUST002751,1391.56,3.740066643617504e-11,3.740066643617505e-09,LOW,log_amount | transaction_hour | amount_deviation_from_average,3.443950 | 2.844720 | 0.416371,transaction_month | international_ratio_24h | customer_volume_share,-2.821663 | -1.361817 | -0.577054
TXN00104392,CUST003533,2381.56,5.6832957062215235e-09,5.683295706221523e-07,LOW,log_amount | transaction_hour | channel_transaction_ratio,4.660229 | 1.539802 | 1.181087,international_ratio_24h | amount_vs_customer_average | customer_volume_share,-1.361817 | -1.065617 | -1.057733
TXN00048365,CUST004982,226.4,9.042355854171036e-12,9.042355854171036e-10,LOW,international_ratio_24h | transaction_hour | cash_ratio_24h,1.248694 | 1.104830 | 0.268508,transaction_month | log_amount | is_night_transaction,-0.921553 | -0.660325 | -0.530345
TXN00015719,CUST004422,1030.48,2.2367697840771897e-06,0.00022367697840771896,LOW,transaction_hour | log_amount | transaction_month,3.714664 | 2.764167 | 1.928612,unique_counterparties | customer_volume_share | customer_total_transactions,-0.528939 | -0.514300 | -0.488673
TXN00032272,CUST002678,25.68,5.428246007631165e-10,5.428246007631165e-08,LOW,transaction_hour | is_night_transaction | international_ratio_24h,3.279692 | 1.509443 | 1.248694,log_amount | amount_vs_customer_max | suspicious_transaction_ratio,-5.513367 | -0.346936 | -0.276996
TXN00115614,CUST003939,906.8,2.0010668960799677e-11,2.0010668960799678e-09,LOW,log_amount | is_night_transaction | international_ratio_24h,2.474892 | 1.509443 | 1.248694,transaction_hour | transaction_month | suspicious_transaction_ratio,-4.549811 | -1.871608 | -0.276996
TXN00118055,CUST003657,437.97,2.0022967542274762e-13,2.002296754227476e-11,LOW,log_amount | transaction_month | cash_ratio_24h,0.829291 | 0.503529 | 0.268508,transaction_hour | international_ratio_24h | channel_transaction_ratio,-3.679867 | -1.361817 | -0.767962
TXN00009080,CUST004324,268.3,2.8164392002191646e-14,2.8164392002191645e-12,LOW,cash_ratio_24h | transaction_day_of_week | structuring_customer_count,0.268508 | 0.267659 | 0.168157,transaction_month | international_ratio_24h | channel_transaction_count,-2.346636 | -1.361817 | -0.679820
TXN00107737,CUST003831,385.35,9.473461522039059e-11,9.47346152203906e-09,LOW,rule_alert_ratio | international_ratio_24h | transaction_hour,4.736594 | 1.248694 | 1.104830,transaction_month | channel_transaction_ratio | channel_transaction_count,-2.346636 | -1.293441 | -1.188414
TXN00081959,CUST000829,124.55,4.592640843826815e-12,4.592640843826815e-10,LOW,international_ratio_24h | channel_transaction_count | channel_transaction_ratio,1.248694 | 0.506898 | 0.325034,log_amount | transaction_month | is_night_transaction,-2.005641 | -1.396581 | -0.530345
TXN00000390,CUST004281,70.34,1.6214429277699496e-13,1.6214429277699497e-11,LOW,channel_transaction_ratio | channel_transaction_count | is_small_cash_transaction,1.502106 | 1.015492 | 0.776018,log_amount | cash_ratio_24h | international_ratio_24h,-3.285822 | -1.796937 | -1.361817
TXN00021144,CUST000846,108.15,1.2169929104595896e-08,1.2169929104595896e-06,LOW,transaction_hour | is_night_transaction | international_ratio_24h,3.714664 | 1.509443 | 1.248694,log_amount | amount_vs_customer_max | suspicious_transaction_ratio,-2.322673 | -0.304992 | -0.276996
TXN00022452,CUST003013,582.95,2.1206915520125766e-13,2.1206915520125766e-11,LOW,log_amount | cash_ratio_24h | is_weekend,1.475635 | 0.268508 | 0.202354,channel_transaction_ratio | transaction_month | international_ratio_24h,-1.538664 | -1.396581 | -1.361817
TXN00063603,CUST004944,3851.22,4.6272596065598465e-09,4.6272596065598464e-07,LOW,log_amount | amount_deviation_from_average | international_ratio_24h,5.748415 | 1.265585 | 1.248694,transaction_hour | amount_vs_customer_average | customer_volume_share,-3.679867 | -0.964459 | -0.621652
TXN00053222,CUST002488,590.79,1.0153533766304639e-10,1.0153533766304639e-08,LOW,log_amount | transaction_month | international_ratio_24h,1.505839 | 1.453584 | 1.248694,channel_transaction_ratio | channel_transaction_count | is_night_transaction,-0.802994 | -0.679820 | -0.530345
TXN00091964,CUST001430,2115.09,5.361362275160332e-11,5.361362275160332e-09,LOW,log_amount | international_ratio_24h | amount_vs_customer_max,4.391609 | 1.248694 | 1.168248,customer_volume_share | amount_vs_customer_average | transaction_month,-1.514421 | -1.023821 | -0.921553
TXN00041962,CUST000238,308.26,1.5730875309076578e-13,1.573087530907658e-11,LOW,structuring_ratio | cash_ratio_24h | transaction_day_of_week,0.309247 | 0.268508 | 0.267659,transaction_month | international_ratio_24h | channel_transaction_ratio,-1.871608 | -1.361817 | -0.767962
TXN00077910,CUST002354,268.05,2.585700855403222e-11,2.585700855403222e-09,LOW,international_ratio_24h | channel_transaction_ratio | unique_destination_countries,1.248694 | 0.668347 | 0.476960,transaction_hour | is_night_transaction | log_amount,-1.939977 | -0.530345 | -0.279413
TXN00014777,CUST004790,41.16,1.443933559958257e-14,1.4439335599582569e-12,LOW,international_ratio_24h | unique_counterparties | customer_total_transactions,1.248694 | 0.370617 | 0.336788,log_amount | channel_transaction_ratio | transaction_hour,-4.477083 | -1.477359 | -1.070032
TXN00020941,CUST000504,45.69,3.4446052944636967e-15,3.4446052944636966e-13,LOW,channel_transaction_ratio | adverse_media_flag | channel_transaction_count,2.384911 | 0.549416 | 0.506898,log_amount | transaction_hour | international_ratio_24h,-4.245940 | -3.679867 | -1.361817
TXN00107171,CUST003264,1068.68,3.305365988717657e-13,3.305365988717657e-11,LOW,log_amount | amount_vs_customer_max | transaction_hour,2.846527 | 1.826970 | 1.104830,top_transaction_indicator | international_ratio_24h | counterparty_diversity_ratio,-3.591158 | -1.361817 | -0.994951
TXN00008973,CUST001306,43.06,9.323635917874976e-15,9.323635917874976e-13,LOW,transaction_hour | amount_vs_customer_average | customer_volume_share,0.669858 | 0.325276 | 0.289006,log_amount | international_ratio_24h | transaction_month,-4.377249 | -1.361817 | -0.921553
TXN00078108,CUST003739,1414.7,1.8243694380035127e-11,1.8243694380035127e-09,LOW,log_amount | transaction_month | international_ratio_24h,3.481275 | 1.453584 | 1.248694,pep_flag | high_customer_risk | transaction_hour,-1.343559 | -1.231971 | -1.070032
TXN00034132,CUST001239,2166.14,2.2945453023251276e-09,2.2945453023251277e-07,LOW,log_amount | transaction_month | amount_vs_customer_max,4.445599 | 0.978557 | 0.962334,international_ratio_24h | transaction_hour | amount_vs_customer_average,-1.361817 | -1.070032 | -1.033814
TXN00077734,CUST003826,214.93,1.929802420652014e-11,1.9298024206520137e-09,LOW,transaction_hour | transaction_month | cash_ratio_24h,2.844720 | 0.978557 | 0.268508,international_ratio_24h | log_amount | channel_transaction_ratio,-1.361817 | -0.777544 | -0.616624
TXN00005845,CUST000937,721.52,3.6376559649851344e-11,3.6376559649851345e-09,LOW,log_amount | transaction_month | channel_transaction_ratio,1.957882 | 0.978557 | 0.560448,transaction_hour | international_ratio_24h | is_night_transaction,-1.939977 | -1.361817 | -0.530345
TXN00072579,CUST003600,503.02,8.574339940079615e-17,8.574339940079615e-15,LOW,log_amount | unique_counterparties | customer_total_transactions,1.142255 | 0.370617 | 0.336788,transaction_hour | transaction_month | international_ratio_24h,-3.679867 | -1.871608 | -1.361817
TXN00078769,CUST001402,211.47,1.9232610813573227e-12,1.9232610813573227e-10,LOW,transaction_month | channel_transaction_count | cash_ratio_24h,1.928612 | 0.337367 | 0.268508,transaction_hour | international_ratio_24h | log_amount,-2.374949 | -1.361817 | -0.814128
SCN00700006,CUST000070,10656.2,0.9999999382124296,99.99999382124297,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,8.053061 | 5.711653 | 4.736008,structuring_customer_count | average_transaction_30d | amount_squared,-1.472399 | -1.433089 | -1.233740
TXN00101152,CUST002246,71.77,8.015434599884246e-12,8.015434599884247e-10,LOW,transaction_month | international_ratio_24h | channel_transaction_ratio,2.403639 | 1.248694 | 0.913570,log_amount | transaction_hour | is_night_transaction,-3.240873 | -2.809922 | -0.530345
TXN00097175,CUST001959,93.98,2.6294335001515778e-11,2.629433500151578e-09,LOW,transaction_month | international_ratio_24h | channel_transaction_count,1.928612 | 1.248694 | 1.015492,transaction_hour | log_amount | is_night_transaction,-2.809922 | -2.637611 | -0.530345
TXN00036831,CUST001319,140.0,8.84998944541889e-09,8.849989445418891e-07,LOW,transaction_hour | channel_transaction_ratio | is_night_transaction,4.149637 | 1.592651 | 1.509443,log_amount | international_ratio_24h | is_weekend,-1.742796 | -1.361817 | -0.430003
TXN00058300,CUST004257,225.84,3.4944502044674008e-09,3.494450204467401e-07,LOW,transaction_hour | is_night_transaction | transaction_month,5.019582 | 1.509443 | 0.978557,international_ratio_24h | log_amount | unique_destination_countries,-1.361817 | -0.665910 | -0.369714
TXN00068358,CUST004142,329.65,2.5119804012309947e-07,2.5119804012309947e-05,LOW,transaction_hour | is_night_transaction | transaction_month,4.584609 | 1.509443 | 1.453584,average_transaction_30d | is_weekend | unique_counterparties,-0.692566 | -0.430003 | -0.408998
TXN00094275,CUST000422,565.73,4.995310423167738e-08,4.995310423167738e-06,LOW,transaction_hour | transaction_month | is_night_transaction,4.584609 | 1.928612 | 1.509443,channel_transaction_ratio | channel_transaction_count | unique_counterparties,-1.409599 | -1.188414 | -0.408998
TXN00059409,CUST003000,1174.5,3.5865043363649737e-10,3.5865043363649734e-08,LOW,log_amount | transaction_hour | international_ratio_24h,3.060177 | 1.539802 | 1.248694,channel_transaction_ratio | channel_transaction_count | is_night_transaction,-1.517341 | -1.188414 | -0.530345
