transaction_id,customer_id,amount_usd,ml_risk_probability,ml_risk_score,ml_risk_level,top_positive_shap_features,top_positive_shap_values,top_negative_shap_features,top_negative_shap_values
SCN00780016,CUST000078,9565.15,0.9999999998889961,99.99999998889962,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,8.298824 | 7.808450 | 5.711653,volume_30d | structuring_customer_count | average_transaction_30d,-2.469184 | -1.882537 | -1.546981
SCN01280013,CUST000128,7850.17,0.9999999867079996,99.99999867079995,CRITICAL,log_amount | transactions_24h | rapid_transaction_indicator,7.360994 | 6.727077 | 5.711653,structuring_customer_count | volume_30d | average_transaction_30d,-2.702815 | -1.635097 | -1.283558
SCN00970012,CUST000097,24563.0,0.9999999838067015,99.99999838067015,CRITICAL,log_amount | amount_usd | amount_deviation_from_average,9.944288 | 7.007775 | 6.395032,amount_squared | volume_30d | average_transaction_30d,-6.649936 | -5.198396 | -3.614305
SCN00410007,CUST000041,27190.13,0.9999999826303133,99.99999826303133,CRITICAL,log_amount | amount_usd | amount_deviation_from_average,10.174414 | 7.778276 | 6.596779,amount_squared | average_transaction_30d | volume_30d,-8.153444 | -5.207243 | -4.505168
SCN01390001,CUST000139,14998.91,0.9999999819964974,99.99999819964974,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,8.827195 | 5.711653 | 5.049321,top_transaction_indicator | amount_squared | amount_vs_customer_average,-3.591158 | -2.465773 | -1.156133
SCN00690008,CUST000069,7778.64,0.9999999817432171,99.99999817432172,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.340265 | 5.711653 | 5.533531,average_transaction_30d | volume_30d | structuring_customer_count,-1.270827 | -1.175151 | -1.062260
SCN01500010,CUST000150,8755.52,0.9999999811705839,99.99999811705838,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,7.608167 | 6.114584 | 5.711653,average_transaction_30d | volume_30d | structuring_customer_count,-1.890558 | -1.699413 | -1.472399
SCN00510005,CUST000051,41732.28,0.9999999789853764,99.99999789853764,CRITICAL,amount_usd | amount_deviation_from_average | log_amount,12.043294 | 11.386095 | 11.144680,amount_squared | average_transaction_30d | volume_30d,-19.236940 | -6.671370 | -3.637180
SCN00770016,CUST000077,7834.1,0.9999999755194174,99.99999755194175,CRITICAL,transactions_24h | log_amount | suspicious_transaction_ratio,8.298824 | 7.356354 | 6.450983,volume_30d | average_transaction_30d | transaction_hour,-2.342698 | -1.653009 | -1.505005
SCN00890014,CUST000089,19902.79,0.9999999753150702,99.99999753150702,CRITICAL,log_amount | transactions_24h | suspicious_transaction_ratio,9.467835 | 7.250992 | 6.278471,volume_30d | amount_squared | average_transaction_30d,-5.490657 | -4.358439 | -4.060848
SCN00710017,CUST000071,10408.19,0.9999999746729928,99.99999746729928,CRITICAL,transactions_24h | log_amount | suspicious_transaction_ratio,8.822739 | 7.999732 | 6.450983,volume_30d | transaction_hour | structuring_customer_count,-2.708213 | -1.939977 | -1.882537
SCN00760012,CUST000076,9380.38,0.9999999664538199,99.999996645382,CRITICAL,log_amount | suspicious_transaction_ratio | transactions_24h,7.764277 | 7.027667 | 6.203161,structuring_customer_count | volume_30d | average_transaction_30d,-2.292676 | -2.011802 | -1.737737
SCN00450004,CUST000045,36827.63,0.9999999498833653,99.99999498833652,CRITICAL,amount_deviation_from_average | log_amount | amount_usd,10.941225 | 10.861525 | 10.604826,amount_squared | average_transaction_30d | volume_30d,-14.976086 | -3.907264 | -2.463241
SCN00620001,CUST000062,10744.45,0.9999999496324737,99.99999496324737,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,8.071739 | 6.114584 | 5.711653,structuring_customer_count | amount_squared | average_transaction_30d,-1.472399 | -1.254625 | -1.088045
SCN00700006,CUST000070,10656.2,0.9999999382124296,99.99999382124297,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,8.053061 | 5.711653 | 4.736008,structuring_customer_count | average_transaction_30d | amount_squared,-1.472399 | -1.433089 | -1.233740
SCN01380010,CUST000138,8339.24,0.9999999308991091,99.99999308991092,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,7.497856 | 6.632820 | 5.711653,structuring_customer_count | average_transaction_30d | volume_30d,-1.882537 | -1.834654 | -1.806798
SCN00930018,CUST000093,18470.78,0.9999999299891231,99.99999299891232,CRITICAL,transactions_24h | log_amount | suspicious_transaction_ratio,9.346655 | 9.298730 | 6.450983,volume_30d | average_transaction_30d | amount_squared,-6.907693 | -4.584582 | -3.750772
SCN00520010,CUST000052,41650.58,0.9999999293294156,99.99999293294157,CRITICAL,amount_usd | amount_deviation_from_average | log_amount,12.019332 | 11.531437 | 11.140242,amount_squared | volume_30d | average_transaction_30d,-19.161607 | -6.632048 | -6.028992
SCN01380018,CUST000138,14729.27,0.9999999281231372,99.99999281231372,CRITICAL,transactions_24h | log_amount | suspicious_transaction_ratio,9.346655 | 8.786112 | 6.632820,top_transaction_indicator | volume_30d | amount_squared,-3.591158 | -3.313495 | -2.377131
SCN01510003,CUST000151,6287.29,0.999999923171431,99.99999231714311,CRITICAL,log_amount | rapid_transaction_indicator | channel_transaction_count,6.858265 | 5.711653 | 4.745178,average_transaction_30d | customer_total_volume | amount_vs_customer_average,-0.658920 | -0.555551 | -0.507214
SCN00360010,CUST000036,25464.29,0.9999999208473633,99.99999208473633,CRITICAL,log_amount | amount_usd | rapid_transaction_indicator,10.025900 | 7.272111 | 5.711653,amount_squared | volume_30d | average_transaction_30d,-7.148544 | -5.901239 | -5.350222
SCN00600007,CUST000060,10508.13,0.9999999179876354,99.99999179876355,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,8.021374 | 5.711653 | 5.404409,structuring_customer_count | average_transaction_30d | volume_30d,-2.702815 | -1.337184 | -1.231286
SCN01470010,CUST000147,8781.0,0.999999880942124,99.9999880942124,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.614748 | 5.711653 | 5.162647,structuring_customer_count | volume_30d | average_transaction_30d,-1.882537 | -1.637915 | -1.511018
SCN01130009,CUST000113,6678.96,0.9999998659091585,99.99998659091585,CRITICAL,suspicious_transaction_ratio | log_amount | rapid_transaction_indicator,7.027667 | 6.995112 | 5.711653,structuring_customer_count | volume_30d | average_transaction_30d,-1.062260 | -0.903878 | -0.856257
SCN01590005,CUST000159,6043.23,0.9999998600115046,99.99998600115046,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,6.768612 | 5.810223 | 5.711653,average_transaction_30d | volume_30d | structuring_customer_count,-1.554624 | -0.882668 | -0.652121
SCN00590005,CUST000059,24055.43,0.9999998595133828,99.99998595133827,CRITICAL,log_amount | amount_usd | rapid_transaction_indicator,9.897000 | 6.858911 | 5.711653,amount_squared | average_transaction_30d | volume_30d,-6.377048 | -4.484224 | -3.176648
SCN00320002,CUST000032,8609.87,0.9999998584802439,99.99998584802438,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,7.570179 | 5.810223 | 5.711653,structuring_customer_count | cash_ratio_24h | average_transaction_30d,-8.034621 | -1.796937 | -1.152886
SCN00920009,CUST000092,18130.36,0.9999998542804499,99.999985428045,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,9.256602 | 6.278471 | 5.711653,average_transaction_30d | volume_30d | amount_squared,-4.216769 | -4.005146 | -3.612989
SCN00590011,CUST000059,25465.71,0.9999998525967262,99.99998525967261,CRITICAL,log_amount | amount_usd | amount_deviation_from_average,10.026026 | 7.272527 | 6.285262,amount_squared | volume_30d | average_transaction_30d,-7.149344 | -6.321901 | -5.346427
SCN00610005,CUST000061,6898.58,0.9999998519498711,99.9999851949871,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,7.068375 | 5.810223 | 5.711653,average_transaction_30d | structuring_customer_count | volume_30d,-1.771064 | -1.472399 | -0.849399
SCN00660007,CUST000066,7094.69,0.9999998499721269,99.99998499721269,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.131851 | 5.711653 | 5.668660,structuring_customer_count | average_transaction_30d | volume_30d,-1.882537 | -1.073029 | -1.007823
SCN01470012,CUST000147,8121.27,0.9999998337829402,99.99998337829402,CRITICAL,log_amount | transactions_24h | rapid_transaction_indicator,7.437878 | 6.203161 | 5.711653,volume_30d | structuring_customer_count | average_transaction_30d,-2.030007 | -1.882537 | -1.625895
SCN00120005,CUST000012,9632.09,0.999999821449787,99.9999821449787,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.824243 | 5.711653 | 5.280900,structuring_customer_count | cash_ratio_24h | average_transaction_30d,-8.034621 | -1.796937 | -1.502293
SCN01450015,CUST000145,6528.55,0.999999764522639,99.9999764522639,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,7.774908 | 6.943533 | 5.711653,volume_30d | average_transaction_30d | transactions_30d,-2.088562 | -1.560826 | -1.079425
SCN00610003,CUST000061,6844.1,0.9999997424413511,99.99997424413512,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,7.050421 | 5.810223 | 5.711653,average_transaction_30d | structuring_customer_count | counterparty_diversity_ratio,-1.886383 | -1.472399 | -0.615984
SCN01050010,CUST000105,25099.27,0.999999686413561,99.99996864135609,CRITICAL,log_amount | amount_usd | amount_deviation_from_average,9.993201 | 7.165055 | 6.924416,amount_squared | volume_30d | average_transaction_30d,-6.944444 | -4.480562 | -4.354345
SCN01080006,CUST000108,18958.34,0.9999996255279354,99.99996255279355,CRITICAL,log_amount | rapid_transaction_indicator | amount_usd,9.357734 | 5.711653 | 5.364003,amount_squared | average_transaction_30d | volume_30d,-3.952574 | -2.436294 | -2.161080
SCN01510006,CUST000151,5426.18,0.9999996251975501,99.99996251975502,CRITICAL,log_amount | rapid_transaction_indicator | channel_transaction_count,6.524726 | 5.711653 | 4.745178,average_transaction_30d | volume_30d | transactions_30d,-0.666070 | -0.663556 | -0.659088
SCN00320018,CUST000032,8810.93,0.9999996206942114,99.99996206942114,CRITICAL,transactions_24h | log_amount | suspicious_transaction_ratio,9.346655 | 7.622453 | 5.810223,structuring_customer_count | volume_30d | transaction_hour,-8.034621 | -3.110328 | -2.374949
SCN00600015,CUST000060,6593.08,0.9999995968608384,99.99995968608384,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,7.774908 | 6.965805 | 5.711653,structuring_customer_count | volume_30d | average_transaction_30d,-2.702815 | -2.418488 | -1.512286
SCN00310003,CUST000031,9536.73,0.9999995333024017,99.99995333024016,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.801711 | 5.711653 | 5.668660,structuring_customer_count | cash_ratio_24h | average_transaction_30d,-8.034621 | -1.796937 | -1.624403
SCN00550019,CUST000055,43155.65,0.999999499182621,99.9999499182621,CRITICAL,amount_deviation_from_average | amount_usd | log_amount,12.943020 | 12.460749 | 11.220636,amount_squared | volume_30d | average_transaction_30d,-20.573078 | -10.608408 | -6.422602
SCN01550003,CUST000155,6421.0,0.9999994955858094,99.99994955858094,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,6.905918 | 5.958692 | 5.711653,structuring_customer_count | average_transaction_30d | customer_total_volume,-1.472399 | -0.963542 | -0.576965
SCN00590002,CUST000059,20034.64,0.9999994851142482,99.99994851142482,CRITICAL,log_amount | rapid_transaction_indicator | amount_usd,9.482788 | 5.711653 | 5.679667,amount_squared | average_transaction_30d | customer_total_volume,-4.416670 | -3.697985 | -1.998453
SCN00390000,CUST000039,27969.38,0.9999994424078202,99.99994424078203,CRITICAL,log_amount | amount_usd | amount_deviation_from_average,10.238407 | 8.006820 | 5.639669,amount_squared | annual_transaction_volume_vs_income | average_transaction_30d,-8.628763 | -3.279243 | -3.146362
SCN01590001,CUST000159,5057.01,0.9999994373902589,99.99994373902588,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,6.365178 | 5.810223 | 5.711653,average_transaction_30d | structuring_customer_count | counterparty_diversity_ratio,-1.182178 | -0.652121 | -0.615984
SCN00630009,CUST000063,6296.94,0.9999994371999713,99.99994371999713,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,6.861738 | 6.114584 | 5.711653,average_transaction_30d | volume_30d | transactions_30d,-1.854006 | -1.668492 | -0.659088
SCN00130015,CUST000013,9601.08,0.9999994196354243,99.99994196354243,CRITICAL,log_amount | transactions_24h | rapid_transaction_indicator,7.816941 | 7.774908 | 5.711653,structuring_customer_count | volume_30d | cash_transactions_24h,-8.034621 | -2.640982 | -1.798121
SCN01010008,CUST000101,14036.53,0.9999992847633985,99.99992847633985,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,8.677016 | 6.114584 | 5.711653,average_transaction_30d | volume_30d | annual_transaction_volume_vs_income,-3.081908 | -2.707238 | -2.294787
SCN00220007,CUST000022,9540.28,0.9999992612733427,99.99992612733428,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.802554 | 5.711653 | 5.668660,structuring_customer_count | cash_ratio_24h | average_transaction_30d,-8.034621 | -1.796937 | -1.424152
SCN01150016,CUST000115,5076.05,0.999999220203113,99.9999220203113,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,8.298824 | 6.373687 | 5.711653,volume_30d | transaction_hour | structuring_customer_count,-1.779058 | -1.505005 | -1.472399
SCN01460013,CUST000146,5574.87,0.9999992158320229,99.9999215832023,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,6.727077 | 6.585941 | 5.711653,volume_30d | average_transaction_30d | transactions_30d,-2.166300 | -1.744044 | -0.995358
SCN00930009,CUST000093,17439.64,0.9999991300644248,99.99991300644247,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,9.168636 | 6.450983 | 5.711653,average_transaction_30d | volume_30d | amount_squared,-4.555049 | -3.589557 | -3.341299
SCN00930002,CUST000093,16929.98,0.9999990472733973,99.99990472733973,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,9.101466 | 6.450983 | 5.711653,average_transaction_30d | amount_squared | mule_behavior_indicator,-4.252134 | -3.147593 | -1.552396
SCN00560019,CUST000056,26233.25,0.9999989262556196,99.99989262556196,CRITICAL,log_amount | transactions_24h | volume_24h,10.093277 | 9.870570 | 8.408329,volume_30d | amount_squared | average_transaction_30d,-12.585379 | -7.588147 | -6.966443
SCN00130017,CUST000013,8689.96,0.9999988352030637,99.99988352030637,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,8.822739 | 7.591147 | 5.711653,structuring_customer_count | volume_30d | cash_transactions_24h,-8.034621 | -2.977989 | -2.025013
SCN00310008,CUST000031,9619.11,0.9999984431148806,99.99984431148806,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.821189 | 5.711653 | 5.668660,structuring_customer_count | average_transaction_30d | cash_ratio_24h,-8.034621 | -1.830832 | -1.796937
SCN01020007,CUST000102,15874.37,0.999998303959331,99.9998303959331,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,8.955666 | 5.958692 | 5.711653,average_transaction_30d | volume_30d | amount_squared,-4.205138 | -3.320458 | -2.764660
SCN00240017,CUST000024,9559.98,0.9999982502205511,99.9998250220551,CRITICAL,transactions_24h | log_amount | suspicious_transaction_ratio,8.822739 | 7.807226 | 6.450983,structuring_customer_count | volume_30d | cash_transactions_24h,-8.034621 | -2.994149 | -2.025013
SCN01030015,CUST000103,15576.98,0.9999981201919984,99.99981201919984,CRITICAL,log_amount | transactions_24h | rapid_transaction_indicator,8.912837 | 7.774908 | 5.711653,volume_30d | average_transaction_30d | amount_squared,-5.903095 | -4.123377 | -2.661228
SCN00160004,CUST000016,9576.74,0.999998024266201,99.99980242662009,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.811192 | 5.711653 | 5.533531,structuring_customer_count | cash_ratio_24h | average_transaction_30d,-8.034621 | -1.796937 | -1.444140
SCN00190007,CUST000019,9800.2,0.9999979259548915,99.99979259548914,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,7.863426 | 5.958692 | 5.711653,structuring_customer_count | cash_ratio_24h | average_transaction_30d,-8.034621 | -1.796937 | -1.585687
SCN00140016,CUST000014,9515.18,0.9999978955848495,99.99978955848495,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,8.298824 | 7.796588 | 5.711653,structuring_customer_count | volume_30d | average_transaction_30d,-8.034621 | -2.786298 | -1.992314
SCN01260017,CUST000126,4320.08,0.999997410760781,99.9997410760781,CRITICAL,transactions_24h | log_amount | rapid_transaction_indicator,8.822739 | 6.008542 | 5.711653,structuring_customer_count | volume_30d | transaction_hour,-2.292676 | -1.986572 | -1.939977
SCN00690003,CUST000069,4213.47,0.999997358416088,99.9997358416088,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,5.951964 | 5.711653 | 5.533531,structuring_customer_count | annual_transaction_volume_vs_income | average_transaction_30d,-1.062260 | -0.910201 | -0.907444
SCN00930005,CUST000093,14096.79,0.9999973168960526,99.99973168960527,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,8.686717 | 6.450983 | 5.711653,average_transaction_30d | amount_squared | volume_30d,-4.260038 | -2.175517 | -1.997882
SCN00980011,CUST000098,13789.31,0.999997200212027,99.9997200212027,CRITICAL,log_amount | rapid_transaction_indicator | transactions_24h,8.636774 | 5.711653 | 5.679245,volume_30d | average_transaction_30d | amount_squared,-4.258438 | -3.324272 | -2.080699
SCN00740010,CUST000074,5361.5,0.9999969298473318,99.99969298473317,CRITICAL,log_amount | rapid_transaction_indicator | transactions_24h,6.497573 | 5.711653 | 5.155330,volume_30d | structuring_customer_count | average_transaction_30d,-1.653054 | -1.472399 | -1.299125
SCN00190011,CUST000019,9201.32,0.9999969019974055,99.99969019974056,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,7.720631 | 5.958692 | 5.711653,structuring_customer_count | volume_30d | cash_ratio_24h,-8.034621 | -1.984381 | -1.796937
SCN00400016,CUST000040,24377.96,0.9999968656525271,99.99968656525272,CRITICAL,log_amount | transactions_24h | amount_usd,9.927163 | 8.298824 | 6.953505,volume_30d | average_transaction_30d | amount_squared,-9.398083 | -6.648139 | -6.549792
SCN01160019,CUST000116,2931.76,0.9999966491768933,99.99966491768933,CRITICAL,transactions_24h | suspicious_transaction_ratio | rapid_transaction_indicator,9.870570 | 6.114584 | 5.711653,transaction_hour | volume_30d | structuring_customer_count,-2.809922 | -1.965252 | -1.882537
SCN01100010,CUST000110,5050.88,0.999996329360507,99.9996329360507,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,6.362431 | 5.711653 | 5.404409,structuring_customer_count | volume_30d | average_transaction_30d,-1.472399 | -1.321515 | -1.194543
SCN00240010,CUST000024,8807.5,0.9999962357625007,99.99962357625007,CRITICAL,log_amount | suspicious_transaction_ratio | structuring_ratio,7.621572 | 6.450983 | 6.014668,structuring_customer_count | volume_30d | cash_ratio_24h,-8.034621 | -1.812649 | -1.796937
SCN01320010,CUST000132,5002.56,0.9999960683788668,99.99960683788667,CRITICAL,suspicious_transaction_ratio | log_amount | rapid_transaction_indicator,6.450983 | 6.340665 | 5.711653,structuring_customer_count | volume_30d | transactions_30d,-1.062260 | -1.021798 | -0.995358
SCN00270006,CUST000027,9932.55,0.9999957473955662,99.99957473955662,CRITICAL,log_amount | rapid_transaction_indicator | suspicious_transaction_ratio,7.893804 | 5.711653 | 5.162647,structuring_customer_count | cash_ratio_24h | average_transaction_30d,-8.034621 | -1.796937 | -1.763066
SCN00730003,CUST000073,4583.79,0.9999956356828631,99.9995635682863,CRITICAL,log_amount | suspicious_transaction_ratio | rapid_transaction_indicator,6.142708 | 5.958692 | 5.711653,structuring_customer_count | average_transaction_30d | customer_total_volume,-1.472399 | -0.941562 | -0.588553
SCN00520015,CUST000052,42963.16,0.9999955507835309,99.99955507835308,CRITICAL,amount_usd | amount_deviation_from_average | log_amount,12.404294 | 12.101102 | 11.210512,amount_squared | volume_30d | average_transaction_30d,-20.389765 | -10.109869 | -6.776070
